ANNOSCOLASTICO,AREAGEOGRAFICA,REGIONE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,CODICECOMUNESCUOLA,DESCRIZIONECOMUNE,DESCRIZIONECARATTERISTICASCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,INDICAZIONESEDEDIRETTIVO,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,SITOWEBSCUOLA,SEDESCOLASTICA
202425,CENTRO,LAZIO,ROMA,RMIC8AF00D,IC DE FILIPPO,RMAA8AF01A,VIA MONTE GRAN PARADISO,VIA MONTE GRAN PARADISO,00012,E263,GUIDONIA MONTECELIO,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC8AF00D@istruzione.it,Non Disponibile,www.icsedefilippo.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8G5009,IC VIA MAFFI,RMMM8G505E,OSP UMBERTO I - CL. PEDIATRICA,V.LE DEL POLICLINICO,00161,H501,ROMA,C/O IST. OSPEDALIERO,SCUOLA PRIMO GRADO,NO,Non Disponibile,RMIC8G5009@istruzione.it,Non Disponibile,Non Disponibile,NO
202425,CENTRO,LAZIO,ROMA,RMIC8GB00T,IC ALBANO,RMEE8GB021,IC ALBANO PLESSO VIA ROSSINI,VIA ROSSINI,00041,A132,ALBANO LAZIALE,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RMIC8GB00T@istruzione.it,Non Disponibile,www.istitutocomprensivo.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8B1001,MARTA RUSSO,RMAA8B103X,BUSTER KEATON 2,VIA BUSTER KEATON S.N.C.,00128,H501,ROMA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC8B1001@istruzione.it,Non Disponibile,www.icmartarusso.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8G800R,"""PIERO ANGELA""",RMIC8G800R,"""PIERO ANGELA""",VIA RATTO DELLE SABINE 3,00131,H501,ROMA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,RMIC8G800R@istruzione.it,RMIC8G800R@pec.istruzione.it,Non Disponibile,NO
202425,CENTRO,LAZIO,LATINA,LTIC833004,I.C. DONNA LELIA CAETANI,LTMM833037,DON MAURO CASSONI,VIA DEI COLLI SNC,04010,F937,NORMA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,LTIC833004@istruzione.it,Non Disponibile,www.icsermoneta.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8GZ00L,ENEA,RMAA8GZ01D,POMEZIA - MARTIN PESCATORE,VIA VINCI,00040,G811,POMEZIA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC8GZ00L@istruzione.it,Non Disponibile,www.ic-enea.edu.it,NO
202425,CENTRO,LAZIO,FROSINONE,FRIC826009,I.C. SAN GIORGIO A LIRI,FREE82602C,PIGNATARO INTERAMNA CAPOLUOGO,VIA S. MARIA,03040,G662,PIGNATARO INTERAMNA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,FRIC826009@istruzione.it,Non Disponibile,www.scuoleicsangiorgioaliri.edu.it,NO
202425,CENTRO,LAZIO,VITERBO,VTIC83600R,I.C. PIAZZA MARCONI VETRALLA,VTAA83603Q,"SCUOLA INFANZIA ""T. CHERUBINI""",VIA MILANO,01019,L814,VETRALLA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,VTIC83600R@istruzione.it,Non Disponibile,www.icpiazzamarconi.it,NO
202425,CENTRO,LAZIO,FROSINONE,FRIC850006,"I.C. 2^ ""RICCARDO GULIA"" SORA",FRAA850057,SORA CARNELLO,PIAZZA M.TULLIO CICERONE,03039,I838,SORA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,FRIC850006@istruzione.it,Non Disponibile,www.ic2sora.gov.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8DR00R,"IC ""GIOVANNI PIERLUIGI""",RMMM8DR01T,""" GIOVANNI PIERLUIGI """,VIA DI VALLE ZAMPEA N. 2,00036,G274,PALESTRINA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,RMIC8DR00R@istruzione.it,Non Disponibile,www.icpierluigi.it,NO
202425,CENTRO,LAZIO,LATINA,LTIC83000L,"I. C. ""MILANI"" TERRACINA",LTIC83000L,"I. C. ""MILANI"" TERRACINA",VIA A. OLIVETTI 41,04019,L120,TERRACINA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,LTIC83000L@istruzione.it,ltic83000l@pec.istruzione.it,Non Disponibile,NO
202425,CENTRO,LAZIO,ROMA,RMIC8EJ00R,IC ALCIDE DE GASPERI,RMEE8EJ01V,ALCIDE DE GASPERI,VIA MATTEO BANDELLO 30,00137,H501,ROMA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RMIC8EJ00R@istruzione.it,Non Disponibile,www.icmatteobandello.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8F9002,I.C. VELLETRI CENTRO,RMEE8F9014,G. MARCELLI,VIALE OBERDAN 1,00049,L719,VELLETRI,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RMIC8F9002@istruzione.it,Non Disponibile,www.icvelletricentro.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8FU00V,"I.C. ""MARGHERITA HACK""",RMMM8FU01X,VIA DELLA NOCETTA,VIA DELLA NOCETTA 100,Non Disponibile,H501,ROMA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,RMIC8FU00V@istruzione.it,Non Disponibile,www.icsmargheritahack.edu.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8C3007,I.C. DI FRASCATI,RMEE8C3019,VILLA SCIARRA,VIA DON BOSCO 8,00044,D773,FRASCATI,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RMIC8C3007@istruzione.it,Non Disponibile,www.icdifrascati.gov.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8AF00D,IC DE FILIPPO,RMMM8AF01E,SMS EDUARDO DE FILIPPO,VIA MONTEBIANCO SNC,00012,E263,GUIDONIA MONTECELIO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,RMIC8AF00D@istruzione.it,Non Disponibile,www.icsedefilippo.gov.it,NO
202425,CENTRO,LAZIO,LATINA,LTIC855001,I.C. MARCO EMILIO SCAURO,LTAA85502V,LOC.SCAURI-VAGLIO,VIA DEL GOLFO,04028,F224,MINTURNO,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,LTIC855001@istruzione.it,Non Disponibile,www.istitutocomprensivomarcoemilioscauro.edu.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8B200R,ORSA MAGGIORE,RMIC8B200R,ORSA MAGGIORE,VIA ORSA MAGGIORE 112,00144,H501,ROMA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,RMIC8B200R@istruzione.it,rmic8b200r@pec.istruzione.it,Non Disponibile,NO
202425,CENTRO,LAZIO,RIETI,RIIC81600V,IC A.M.RICCI,RIEE816011,"""EUGENIO CIRESE""",VIA CICCHETTI SNC,02100,H282,RIETI,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RIIC81600V@istruzione.it,Non Disponibile,http//www.icamricci.edu.it,NO
202425,CENTRO,LAZIO,RIETI,RIIC823002,ANTONIO MALFATTI - CONTIGLIANO,RIIC823002,ANTONIO MALFATTI - CONTIGLIANO,VIA RIPE,02040,C969,CONTIGLIANO,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,RIIC823002@istruzione.it,riic823002@pec.istruzione.it,Non Disponibile,NO
202425,CENTRO,LAZIO,ROMA,RMIC8EG00Q,IC P.ZZA FILATTIERA,RMAA8EG02N,VIA ZIRARDINI,VIA ZIRARDINI 6,00139,H501,ROMA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC8EG00Q@istruzione.it,Non Disponibile,www.filattiera84.gov.it,NO
202425,CENTRO,LAZIO,FROSINONE,FRIC814003,I.C. CASTRO DEI VOLSCI,FREE814015,SCUOLA ELEM. CASTRO DEI VOLSCI,VIA FRASSO SNC,03020,C338,CASTRO DEI VOLSCI,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,FRIC814003@istruzione.it,Non Disponibile,ICCASTRODEIVOLSCI.GOV.IT,NO
202425,CENTRO,LAZIO,ROMA,RMIC812006,IC FIDENAE,RMAA812024,VIA RUSSOLILLO,VIA RUSSOLILLO 64,00138,H501,ROMA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC812006@istruzione.it,Non Disponibile,www.comprensivofifenae.gov.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC854008,"I.C. ""ARISTIDE LEONORI""",RMIC854008,"I.C. ""ARISTIDE LEONORI""",VIA ACHILLE FUNI 41,00125,H501,ROMA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,RMIC854008@istruzione.it,rmic854008@pec.istruzione.it,Non Disponibile,NO
202425,CENTRO,LAZIO,LATINA,LTIC81300V,I.C.VITRUVIO POLLIONE,LTEE813044,MARANOLA,VIA ANGELO FORTE,04023,D708,FORMIA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,LTIC81300V@istruzione.it,Non Disponibile,www.icpollione.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8GF005,IC VIA DEL CALICE,RMEE8GF04A,GREGNA S. ANDREA,VIA DELLA SETA 8,00173,H501,ROMA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RMIC8GF005@istruzione.it,Non Disponibile,http//www.viadelcalice.gov.it/,NO
202425,CENTRO,LAZIO,FROSINONE,FRIC85200T,I.C. 2^ PONTECORVO,FRMM852031,"S.M. ""G. GROSSI"" PICO",VIA A. CARNEVALE 32,03020,G592,PICO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,FRIC85200T@istruzione.it,Non Disponibile,wwwistitutocomprensivo2pontecorvo.gov.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8AT005,DON LORENZO MILANI,RMEE8AT036,COLONNA - TIBERIO GULLUNI,VIA CAPOCROCE 2,00030,C900,COLONNA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RMIC8AT005@ISTRUZIONE.IT,Non Disponibile,www.icdonmilani.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8CA00G,I.C. PIAZZALE DELLA GIOVENTU 1,RMEE8CA01N,S.MARINELLA - PIRGUS,VIA AUGUSTA 17,00058,I255,SANTA MARINELLA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RMIC8CA00G@istruzione.it,Non Disponibile,WWW.ICSANTAMARINELLA.IT,NO
202425,CENTRO,LAZIO,FROSINONE,FRIC83300C,I.C. 1^ M.S. GIOVANNI CAMPANO,FREE83307R,SCUOLA PRIMARIA CAIO MARIO,VIA CHIAIAMARI,03030,F620,MONTE SAN GIOVANNI CAMPANO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,montesangiovanniuno,NO
202425,CENTRO,LAZIO,ROMA,RMIC8CP00E,IC CASTELVERDE,RMEE8CP03P,VIA CITTA' S. ANGELO,VIA CITTA' S. ANGELO 31,00132,H501,ROMA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RMIC8CP00E@istruzione.it,Non Disponibile,iccastelverderoma.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8AF00D,IC DE FILIPPO,RMIC8AF00D,IC DE FILIPPO,VIA MONTEBIANCO 29,00012,E263,GUIDONIA MONTECELIO,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,RMIC8AF00D@istruzione.it,rmic8af00d@pec.istruzione.it,Non Disponibile,NO
202425,CENTRO,LAZIO,LATINA,LTIC855001,I.C. MARCO EMILIO SCAURO,LTAA85501T,SCAURI SCALO FERROVIARIO,VIA CISTRELLI,04028,F224,MINTURNO,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,LTIC855001@istruzione.it,Non Disponibile,www.istitutocomprensivomarcoemilioscauro.edu.it,NO
202425,CENTRO,LAZIO,FROSINONE,FRIC80400C,I.C. GUARCINO,FREE80404N,VICO NEL LAZIO,CONTADA COLLI,03010,L843,VICO NEL LAZIO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,FRIC80400C@istruzione.it,Non Disponibile,www.icguarcino.gov.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC81400T,DANIELE MANIN,RMIC81400T,DANIELE MANIN,VIA NINO BIXIO 83,00185,H501,ROMA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,RMIC81400T@istruzione.it,rmic81400t@pec.istruzione.it,Non Disponibile,NO
202425,CENTRO,LAZIO,ROMA,RMIC8G800R,"""PIERO ANGELA""",RMAA8G801N,VIA NOMENTUM,VIA NOMENTUM 80,00131,H501,ROMA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC8G800R@istruzione.it,Non Disponibile,WWW.ICPIEROANGELA.EDU.IT,NO
202425,CENTRO,LAZIO,FROSINONE,FRIC82500D,I.C. PIEDIMONTE SAN GERMANO,FRAA82507L,DECORATO,VIALE DECORATO,03030,G598,PIEDIMONTE SAN GERMANO,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,FRIC82500D@istruzione.it,Non Disponibile,www.icpiedimontesangermano.it,NO
202425,CENTRO,LAZIO,RIETI,RIIC823002,ANTONIO MALFATTI - CONTIGLIANO,RIAA823075,ROCCANTICA,VIA DEL MATTATOIO1,02040,H427,ROCCANTICA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,www.ic-scuole-contigliano.it,NO
202425,CENTRO,LAZIO,VITERBO,VTIC812008,I.C. FABRICA DI ROMA,VTAA812037,SCUOLA DELL'INFANZIA CAPRAROLA,VIALE DELLA REPUBBLICA SNC,01032,B691,CAPRAROLA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,icfabricadiroma.edu.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8FU00V,"I.C. ""MARGHERITA HACK""",RMAA8FU02R,V. H. GIROLAMI,VIA MANASSEI 60,00151,H501,ROMA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC8FU00V@istruzione.it,Non Disponibile,www.icsmargheritahack.gov.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8EG00Q,IC P.ZZA FILATTIERA,RMMM8EG01R,PIAZZA FILATTIERA 84,PIAZZA FILATTIERA 84,00139,H501,ROMA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,RMIC8EG00Q@istruzione.it,Non Disponibile,www.filattiera84.gov.it,NO
202425,CENTRO,LAZIO,FROSINONE,FRIC81600P,"I.C. ""GIOV. PAOLO II"" ARCE",FRAA81602L,INFANZIA COLFELICE VILLA FELICE,VIA VILLAFELICE,03030,C836,COLFELICE,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,FRIC81600P@istruzione.it,Non Disponibile,http//www.istitutocomprensivoarce.edu.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8C200B,I.C. MARGHERITA HACK,RMAA8C2029,COLLEFERRO I - C.U.,VIA BRUNO BUOZZI 41,00034,C858,COLLEFERRO,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC8C200B@istruzione.it,Non Disponibile,www.comprensivocollaferro1.it,NO
202425,CENTRO,LAZIO,LATINA,LTIC83000L,"I. C. ""MILANI"" TERRACINA",LTAA83003G,GIANCARLO MANZI,VIA ZICCHIERI SNC,04019,L120,TERRACINA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,LTIC83000L@istruzione.it,Non Disponibile,WWW.ICMILANITERRACINA.EDU.IT,NO
202425,CENTRO,LAZIO,ROMA,RMIC8EJ00R,IC ALCIDE DE GASPERI,RMAA8EJ01N,VIA ALBERTAZZI,VIA ALBERTAZZI 34,00137,H501,ROMA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC8EJ00R@istruzione.it,Non Disponibile,www.icmatteobandello.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8G5009,IC VIA MAFFI,RMMM8G501A,DON GIUSEPPE MOROSINI,VIA VAL FAVARA31,00168,H501,ROMA,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,RMIC8G5009@istruzione.it,Non Disponibile,www.icmaffi.edu.it,NO
202425,CENTRO,LAZIO,FROSINONE,FRIC851002,I.C. 3^ SORA,FREE851014,SORA VALLERADICE,VIA CAMPOPIANO,03039,I838,SORA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,FRIC851002@istruzione.it,Non Disponibile,http/www.istitutocomprensivo3sora.gov.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC8GF005,IC VIA DEL CALICE,RMEE8GF017,APPIO CLAUDIO,VIA AMANTEA,00178,H501,ROMA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RMIC8GF005@istruzione.it,Non Disponibile,ICVIADELCALICEROMA.IT,NO
202425,CENTRO,LAZIO,ROMA,RMIC8AL00A,ISTITUTO COMPRENSIVO - VICOVARO,RMEE8AL09C,SCUOLA PRIMARIA CAMERATA NUOVA,VIALE DEL POPOLO,00020,B472,CAMERATA NUOVA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,icsvicovaro.gov.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC83700E,"""RAFFAELLO""",RMIC83700E,"""RAFFAELLO""",VIA GIUSEPPE CAPOGRASSI 23,00173,H501,ROMA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,RMIC83700E@istruzione.it,rmic83700e@pec.istruzione.it,Non Disponibile,NO
202425,CENTRO,LAZIO,ROMA,RMIC8B200R,ORSA MAGGIORE,RMAA8B201N,VIA ORSA MAGGIORE,VIA ORSA MAGGIORE,00144,H501,ROMA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC8B200R@istruzione.it,Non Disponibile,www.icorsamaggiore.it,NO
202425,CENTRO,LAZIO,RIETI,RIIC81600V,IC A.M.RICCI,RIMM81601X,ANGELO MARIA RICCI,VIA XXIII SETTEMBRE N. 16,02100,H282,RIETI,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,RIIC81600V@istruzione.it,Non Disponibile,http//www.icamricci.edu.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC812006,IC FIDENAE,RMEE812018,ANNA FRANK,VIA RUSSOLILLO 64,00138,H501,ROMA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RMIC812006@istruzione.it,Non Disponibile,www.comprensivofidenae.it,NO
202425,CENTRO,LAZIO,ROMA,RMIC82300L,I.C. GIOVAN BATTISTA VALENTE,RMIC82300L,I.C. GIOVAN BATTISTA VALENTE,VIALE GIOVANNI BATTISTA VALENTE 100,00177,H501,ROMA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,RMIC82300L@istruzione.it,rmic82300l@pec.istruzione.it,Non Disponibile,NO
202425,CENTRO,LAZIO,ROMA,RMIC8FA00B,IC VIA CASALE DEL FINOCCHIO,RMIC8FA00B,IC VIA CASALE DEL FINOCCHIO,VIA CASALE DEL FINOCCHIO 56,00132,H501,ROMA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,RMIC8FA00B@istruzione.it,rmic8fa00b@pec.istruzione.it,Non Disponibile,NO
202425,CENTRO,LAZIO,ROMA,RMIC876005,GIACOMO MATTEOTTI,RMIC876005,GIACOMO MATTEOTTI,VIA GIOVANNI XXIII 2,00060,H267,RIANO,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,RMIC876005@istruzione.it,rmic876005@pec.istruzione.it,Non Disponibile,NO
202425,CENTRO,LAZIO,ROMA,RMIC854008,"I.C. ""ARISTIDE LEONORI""",RMEE85401A,"I. C. ""ARISTIDE LEONORI""",VIA FUNI 81,00125,H501,ROMA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RMIC854008@istruzione.it,Non Disponibile,www.istitutoleonorigov.it,NO
202425,CENTRO,LAZIO,LATINA,LTIC81300V,I.C.VITRUVIO POLLIONE,LTIC81300V,I.C.VITRUVIO POLLIONE,VIA E.FILIBERTO 73,04023,D708,FORMIA,NORMALE,ISTITUTO COMPRENSIVO,SI,Non Disponibile,LTIC81300V@istruzione.it,ltic81300v@pec.istruzione.it,Non Disponibile,NO
202425,CENTRO,LAZIO,ROMA,RMIC8AK00E,IC PALOMBARA SABINA V.LE RISORG,RMAA8AK02C,PALOMBARA STAZZANO,VIA TORINO SNC,00018,G293,PALOMBARA SABINA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC8AK00E@istruzione.it,Non Disponibile,www.icpalombarasabina.gov.it,NO
